bounty,frame_timestamp,game_id,kill_streak_length,killer_id,position_x,position_y,shutdown_bounty,timestamp,type,victim_id
300.0,1500523,7586443327,2.0,9.0,4258.0,8438.0,0.0,1444817,CHAMPION_KILL,2.0
300.0,1500523,7586443327,3.0,8.0,2646.0,5878.0,0.0,1474609,CHAMPION_KILL,1.0
221.0,1500523,7586443327,3.0,6.0,3740.0,4624.0,0.0,1480399,CHAMPION_KILL,4.0
184.0,1500523,7586443327,4.0,6.0,3856.0,3631.0,0.0,1483605,CHAMPION_KILL,5.0
300.0,1500523,7586443327,1.0,7.0,1899.0,4080.0,0.0,1487012,CHAMPION_KILL,3.0
257.0,1530336,7586443327,5.0,6.0,3190.0,3810.0,0.0,1501258,CHAMPION_KILL,2.0
300.0,180126,7586522019,0.0,3.0,7500.0,7853.0,0.0,157748,CHAMPION_KILL,8.0
300.0,180126,7586522019,0.0,4.0,11622.0,7482.0,0.0,172927,CHAMPION_KILL,10.0
300.0,180126,7586522019,0.0,7.0,11628.0,7189.0,0.0,176568,CHAMPION_KILL,4.0
300.0,240137,7586522019,1.0,3.0,12380.0,7497.0,0.0,181061,CHAMPION_KILL,9.0
300.0,240137,7586522019,1.0,7.0,11537.0,6915.0,0.0,183332,CHAMPION_KILL,2.0
300.0,240137,7586522019,0.0,8.0,7756.0,5960.0,0.0,199465,CHAMPION_KILL,5.0
300.0,240137,7586522019,0.0,10.0,10064.0,9655.0,83.0,211238,CHAMPION_KILL,3.0
300.0,360172,7586522019,0.0,9.0,10775.0,916.0,0.0,327069,CHAMPION_KILL,4.0
300.0,360172,7586522019,0.0,3.0,7685.0,5831.0,0.0,348833,CHAMPION_KILL,8.0
240.0,480204,7586522019,1.0,9.0,13663.0,5477.0,0.0,420302,CHAMPION_KILL,4.0
300.0,480204,7586522019,2.0,7.0,5461.0,5869.0,0.0,445596,CHAMPION_KILL,3.0
300.0,540206,7586522019,0.0,6.0,3454.0,13474.0,0.0,509311,CHAMPION_KILL,1.0
